,FUNC_NAME,FUNC_LINE_NO
29,"* WHETHER IN CONTRACT, STRICT LIABILITY, OR TORT (INCLUDING NEGLIGENCE OR      *",25
30,"* SPECIAL, EXEMPLARY, OR CONSEQUENTIAL DAMAGES (INCLUDING, BUT NOT LIMITED TO, *",22
31,"* WHETHER IN CONTRACT, STRICT LIABILITY, OR TORT (INCLUDING NEGLIGENCE OR      *",25
32,"void ring_buf_init(ring_buf_t*      rb, ",51
33,void ring_buf_uninit(ring_buf_t* rb),71
34,void* ring_buf_enq(ring_buf_t* rb),94
35,void ring_buf_deq(ring_buf_t* rb),124
36,void* ring_buf_front(ring_buf_t* rb),144
37,void* ring_buf_next(ring_buf_t* rb),159
38,uint32_t ring_buf_num_entries(const ring_buf_t* rb),170
39,bool ring_buf_is_empty(const ring_buf_t* rb),181
40,bool ring_buf_is_full(const ring_buf_t* rb),192
41,bool ring_buf_is_overflow(const ring_buf_t* rb),204
42,"* SPECIAL, EXEMPLARY, OR CONSEQUENTIAL DAMAGES (INCLUDING, BUT NOT LIMITED TO, *",22
43,"* WHETHER IN CONTRACT, STRICT LIABILITY, OR TORT (INCLUDING NEGLIGENCE OR      *",25
44,static void step_async_shift_completion(cnoc_msi_schan_state_t* cnoc_msi_schan_state),42
45,static status_code_t step_bb_shift(cnoc_msi_schan_state_t* cnoc_msi_schan_state),52
46,static status_code_t step_bb_update(cnoc_msi_schan_state_t* cnoc_msi_schan_state),72
47,static status_code_t step_iocsr_freeze(cnoc_msi_schan_state_t* cnoc_msi_schan_state),83
48,static status_code_t step_iocsr_unfreeze(cnoc_msi_schan_state_t* cnoc_msi_schan_state),101
49,static status_code_t step_iocsr_shift(cnoc_msi_schan_state_t* cnoc_msi_schan_state),121
50,"static status_code_t cnoc_msi_schan_state_init(cnoc_msi_schan_state_t* cnoc_msi_schan_state, ring_buf_t *schan_packet_buf_queue)",137
51,static status_code_t cnoc_msi_schan_exec_step(cnoc_msi_schan_state_t* cnoc_msi_schan_state),201
52,"status_code_t cnoc_msi_schan_init(cnoc_msi_schan_state_t* cnoc_msi_schan_state, ring_buf_t *schan_packet_buf_queue)",237
53,"status_code_t cnoc_msi_schan_process(cnoc_msi_schan_state_t* cnoc_msi_schan_state, ring_buf_t *schan_packet_buf_queue)",277
54,"schan_entry_t* cnoc_msi_schan_find_ch(cnoc_msi_schan_state_t* cnoc_msi_schan_state, uint32_t ch)",335
55,void cnoc_tx_init(cnoc_tx_dev_t *tx_dev),32
56,cnoc_tx_result_t cnoc_tx_init(const cnoc_tx_dev_t *tx_dev),40
57,"cnoc_tx_result_t cnoc_tx_transmit(cnoc_tx_dev_t *tx_dev, cnoc_tx_params_t *tx_params)",71
58,"cnoc_tx_result_t cnoc_tx_transmit(const cnoc_tx_dev_t *tx_dev, const cnoc_tx_params_t *tx_params)",80
59,cnoc_tx_result_t cnoc_tx_irq_deassert(const cnoc_tx_dev_t *tx_dev),167
60,cnoc_tx_result_t cnoc_tx_irq_assert(const cnoc_tx_dev_t *tx_dev),183
61,uint8_t cnoc_tx_irq_status(const cnoc_tx_dev_t *tx_dev),199
62,"* SPECIAL, EXEMPLARY, OR CONSEQUENTIAL DAMAGES (INCLUDING, BUT NOT LIMITED TO, *",22
63,"* WHETHER IN CONTRACT, STRICT LIABILITY, OR TORT (INCLUDING NEGLIGENCE OR      *",25
64,void dma_init(),81
65,void dma_init(),89
66,"void dma_transfer(const void *src_buffer, const void *dst_buffer, uint32_t tx_length_words, uint32_t control_word)",113
67,"void dma_transfer(const void *src_buffer, const void *dst_buffer, uint32_t tx_length_words, uint32_t control_word)",124
68,void dma_clear_status(void),151
69,void dma_reset(void),159
70,void dma_register_isr_callback_function(dma_cb_func_type dma_cb_func),169
71,void dma_register_isr_callback_function (dma_cb_func_type dma_cb_func),179
72,void dma_unregister_isr_callback_function(),190
73,void dma_unregister_isr_callback_function(),200
74,"static void dma_complete_handler(void* isr_context, uint32_t id)",209
75,static void dma_complete_handler(void* context),218
76,"* SPECIAL, EXEMPLARY, OR CONSEQUENTIAL DAMAGES (INCLUDING, BUT NOT LIMITED TO, *",22
77,"* WHETHER IN CONTRACT, STRICT LIABILITY, OR TORT (INCLUDING NEGLIGENCE OR      *",25
78,"static void bead_bus_signal_set(int update_in, int capture_in, int clr_n_in)",77
79,"static void bead_bus_clock_net_signal_set(int update_in, int capture_in, int clr_n_in)",90
80,int main(void),119
81,"static status_code_t cnt_startup(const uint32_t* cmd_packet, uint32_t payload_words)",196
82,"static status_code_t redundancy_fuse(const uint32_t* cmd_packet, uint32_t payload_words)",202
83,static status_code_t paramblk_callback (void* user_arg),208
84,static void bead_bus_callback(void *user_arg),214
85,static status_code_t iocsr_freeze(),219
86,static status_code_t iocsr_unfreeze(),224
87,"* SPECIAL, EXEMPLARY, OR CONSEQUENTIAL DAMAGES (INCLUDING, BUT NOT LIMITED TO, *",22
88,"* WHETHER IN CONTRACT, STRICT LIABILITY, OR TORT (INCLUDING NEGLIGENCE OR      *",25
89,"* SPECIAL, EXEMPLARY, OR CONSEQUENTIAL DAMAGES (INCLUDING, BUT NOT LIMITED TO, *",22
90,"* WHETHER IN CONTRACT, STRICT LIABILITY, OR TORT (INCLUDING NEGLIGENCE OR      *",25
91,"static void serial_ctrl_irq_handler(void* context, alt_u32 id)",80
92,"status_code_t serial_ctrl_init(serial_ctrl_dev_t*   dev,",150
93,"status_code_t serial_ctrl_read(const serial_chan_dev_t*     chan,",178
94,"status_code_t serial_ctrl_async_read(const serial_chan_dev_t*    chan,",195
95,"status_code_t serial_ctrl_write(const serial_chan_dev_t*    chan,",212
96,"status_code_t serial_ctrl_async_write(const serial_chan_dev_t*   chan,",230
97,"status_code_t serial_ctrl_transfer(const serial_chan_dev_t*    chan,",249
98,"status_code_t serial_ctrl_async_transfer(const serial_chan_dev_t*   chan,",341
99,status_code_t serial_ctrl_channel_is_busy(const serial_chan_dev_t* chan),429
100,void nsp_delay(int count),4
101,"void mailbox_fatal_imp(int code, int line, char* file)",12
102,"void mailbox_error_imp(int code, int line, char* file)",24
103,"void st_to_long(char* st, int* w0, int* w1)",35
104,void mailbox_barrier_release(char* barrier_st),60
105,void mailbox_barrier_wait(char* barrier_st),69
106,void mailbox_barrier_global_release(char* barrier_st),79
107,void mailbox_barrier_global_wait(char* barrier_st),88
108,int mailbox_sim_time(),98
109,void mailbox_wait_sim_time(int ns),104
110,void mailbox_connect_monitor(char* monitor_st),114
111,void mailbox_disconnect_monitor(char* monitor_st),122
112,"void write_io(void* addr, int v)",7
113,int read_io(void* addr),14
114,void mailbox_uvm_error(int code),21
115,void mailbox_wave_marker(int code),26
116,void mailbox_start(),31
117,void mailbox_finish(int code),36
118,void mailbox_print_c(char c){,41
119,void mailbox_print_hex(int c){,45
120,void mailbox_print_dec(int c),49
121,"void mailbox_print_format(int fmt, int n)",54
122,void nsp_delay(int count),59
123,"void mailbox_fatal_imp(int code, int line, char* file)",67
124,"void mailbox_barrier_release_imp(int b0, int b1)",73
125,"int mailbox_barrier_wait_imp(int b0, int b1)",78
126,"void st_to_long(char* st, int* w0, int* w1)",95
127,void mailbox_barrier_release(char* barrier_st),119
128,void mailbox_barrier_wait(char* barrier_st),128
129,void mailbox_barrier_global_release(char* barrier_st),138
130,void mailbox_barrier_global_wait(char* barrier_st),147
131,int mailbox_sim_time(),157
132,void mailbox_wait_sim_time(int ns),163
133,void mailbox_connect_monitor(char* monitor_st),173
134,void mailbox_disconnect_monitor(char* monitor_st),181
135,"int fopen(const char* fn, const char* mode)",190
136,int fgetc(int fd),195
137,int fclose(int fd),200
138,"int fseek(int fd, int off, int origin)",205
139,int ftell(int fd),215
140,void nsp_delay(int count),4
141,"void mailbox_fatal_imp(int code, int line, char* file)",12
142,"void mailbox_error_imp(int code, int line, char* file)",24
143,"void st_to_long(char* st, int* w0, int* w1)",35
144,void mailbox_barrier_release(char* barrier_st),60
145,void mailbox_barrier_wait(char* barrier_st),69
146,void mailbox_barrier_global_release(char* barrier_st),79
147,void mailbox_barrier_global_wait(char* barrier_st),88
148,int mailbox_sim_time(),98
149,void mailbox_wait_sim_time(int ns),104
150,void mailbox_connect_monitor(char* monitor_st),114
151,void mailbox_disconnect_monitor(char* monitor_st),122
152,"* SPECIAL, EXEMPLARY, OR CONSEQUENTIAL DAMAGES (INCLUDING, BUT NOT LIMITED TO, *",22
153,"* WHETHER IN CONTRACT, STRICT LIABILITY, OR TORT (INCLUDING NEGLIGENCE OR      *",25
154,"status_code_t cnoc_msi_cmd_req_handler_dispatch(cnoc_msi_cmd_state_t* cnoc_msi_cmd_state, gen_ring_buf_t* cnt_cmd_req_queue)",38
155,*        Copyright (c) 2015 Altera Corporation,12
156,"uint32_t iocsr_bridge_write(iocsr_brdg_dev_t *iocsr_brdg_dev, uint32_t *iocsr_packet)",25
157,"void iocsr_bridge_write(iocsr_brdg_dev_t *iocsr_brdg_dev, uint32_t *iocsr_packet)",36
158,"static void iocsr_bridge_unload(uint32_t bridge_addr, uint8_t num_chains, uint8_t *log_ch_phy_map, uint32_t *dest_addr)",79
159,"static void iocsr_bridge_unload(uint32_t bridge_addr, uint8_t num_chains, uint8_t *hw_phy_ch_log_map, uint32_t *dest_addr)",94
160,void iocsr_bridge_master_data_unload(IOCSR_Master_Unload_t* context),117
161,uint8_t iocsr_bridge_master_data_unload (IOCSR_Master_Unload_t* context),133
162,"* Copyright (c) 2004-2015 Altera Corporation, San Jose, California, USA. *",2
163,void timer1_init(),60
164,void timer1_init(),68
165,void timer0_init(),75
166,void timer0_init(),83
167,static void timer1_start_nb(uint32_t nanoseconds),90
168,void timer1_start_nb(uint32_t nanoseconds),100
169,"static void timer0_start_nb(uint32_t base, uint32_t nanoseconds)",108
170,void timer0_start_nb(uint32_t nanoseconds),118
171,"static void timer1_configure(uint32_t base, uint32_t nanoseconds)",126
172,void timer1_configure(uint32_t nanoseconds),135
173,static void timer0_configure(uint32_t nanoseconds),143
174,void timer0_configure(uint32_t nanoseconds),152
175,static uint32_t timer0_counter_read(),161
176,uint32_t timer0_counter_read(),169
177,static uint32_t timer1_counter_read(),176
178,uint32_t timer1_counter_read(),184
179,static void timer1_register_isr_callback_function (timer_cb_func_type timer_cb_func),191
180,void timer1_register_isr_callback_function ( timer_cb_func_type timer_cb_func),200
181,static void timer0_register_isr_callback_function (timer_cb_func_type timer_cb_func),212
182,void timer0_register_isr_callback_function ( timer_cb_func_type timer_cb_func),221
183,void timer1_unregister_isr_callback_function (),232
184,void timer1_unregister_isr_callback_function(),241
185,void timer_0unregister_isr_callback_function (),250
186,void timer0_unregister_isr_callback_function(),259
187,static uint8_t timer1_is_expired(),268
188,uint8_t timer1_is_expired(),278
189,static uint8_t timer0_is_expired(),285
190,uint8_t timer0_is_expired(),295
191,void timer1_start(uint32_t nanoseconds),302
192,void timer1_start(uint32_t nanoseconds),312
193,void timer0_start(uint32_t nanoseconds),320
194,void timer0_start(uint32_t nanoseconds),329
195,void timer1_start_raw(uint32_t counter),336
196,void timer1_start_raw(uint32_t counter),345
197,void timer0_start_raw(uint32_t counter),353
198,void timer0_start_raw(uint32_t counter),362
199,void timer1_start_nb_raw(uint32_t counter),369
200,void timer1_start_nb_raw(uint32_t counter),378
201,void timer0_start_nb_raw(uint32_t counter),386
202,void timer0_start_nb_raw(uint32_t counter),395
203,static void timer_init(uint32_t base),402
204,static void timer_init(uint32_t base),410
205,"static void timer_start_nb(uint32_t base, uint32_t nanoseconds)",418
206,"static void timer_start_nb(uint32_t base, uint32_t nanoseconds)",429
207,"static void timer_start_nb_raw(uint32_t base, uint32_t nCycles)",435
208,"static void timer_start_nb_raw(uint32_t base, uint32_t nCycles)",446
209,"static void timer_configure(uint32_t base, uint32_t nanoseconds)",467
210,"static void timer_configure(uint32_t base, uint32_t nanoseconds)",477
211,static uint8_t timer_is_expired(uint32_t base),502
212,static uint8_t timer_is_expired(uint32_t base),512
213,static uint32_t timer_counter_read (uint32_t base),519
214,static uint32_t timer_counter_read(uint32_t base),527
215,"static void timer_start(uint32_t base, uint32_t nanoseconds)",549
216,"static void timer_start(uint32_t base, uint32_t nanoseconds)",559
217,"static void timer_start_raw(uint32_t base, uint32_t nCycles)",566
218,"static void timer_start_raw(uint32_t base, uint32_t nCycles)",576
219,"static void timer_complete_handler(void* isr_context, uint32_t id)",587
220,static void timer_complete_handler(void* context),596
221,*      Copyright (c) 2015 Altera Corporation,12
222,"void iocsr_redundancy_write(void *iocsr_packet_addr, uint32_t ch_num, uint32_t ubump_num)",22
223,"int32_t iocsr_redundancy_write(iocsr_brdg_dev_t *iocsr_brdg_dev,",35
224,"void aib_aux_redundancy_write(uint32_t *aib_aux_addr,",140
225,"int32_t aib_aux_redundancy_write(uint32_t *aib_aux_addr,",152
226,void foo(char * const * arg) {,1
227,void foo2(char ** const arg) {,6
228,int main(),17
229,"int main (int argc, char *argv[]) {",14
230,void print_help(int exval) {,96
231,void init_trace_buffer(){,16
232,"void write_trace_buffer(trace_message_t message, uint32_t info){",31
233,"* SPECIAL, EXEMPLARY, OR CONSEQUENTIAL DAMAGES (INCLUDING, BUT NOT LIMITED TO, *",22
234,"* WHETHER IN CONTRACT, STRICT LIABILITY, OR TORT (INCLUDING NEGLIGENCE OR      *",25
235,"void  gen_ring_buf_init(gen_ring_buf_t* rb,",54
236,void gen_ring_buf_uninit(gen_ring_buf_t* rb),72
237,void* gen_ring_buf_enq(gen_ring_buf_t* rb),95
238,void gen_ring_buf_deq(gen_ring_buf_t* rb),125
239,void* gen_ring_buf_front(gen_ring_buf_t* rb),145
240,void* gen_ring_buf_next(gen_ring_buf_t* rb),160
241,uint32_t gen_ring_buf_num_entries(const gen_ring_buf_t* rb),171
242,bool gen_ring_buf_is_empty(const gen_ring_buf_t* rb),182
243,bool gen_ring_buf_is_full(const gen_ring_buf_t* rb),193
244,bool gen_ring_buf_is_overflow(const gen_ring_buf_t* rb),205
245,void uart_puts(char *str) {,43
246,"alt_u32 uart_puth(alt_32 dont_put_zero, alt_u32 i) {",51
247,void uart_puti(alt_u32 i) {,64
248,"void uart_printf(char *format, ...) {",97
249,"void fast_print_int(int fmt, int n)",41
250,void tb_puts(const char *s),46
251,"void tb_printf(const char *format, ...)",52
252,void mb_vip_puts(const char *s),116
253,void sh_puts(const char *s),125
254,"void sh_printf(const char *format, ...)",131
255,extern uint8_t sem_try_acquire(volatile uint32_t *sem),32
256,extern uint8_t sem_init(volatile uint8_t *sem),54
257,uint8_t sem_init(volatile uint32_t *sem),67
258,extern uint8_t sem_release(volatile uint32_t *sem),79
259,uint8_t sem_release(volatile uint32_t *sem),100
260,Copyright (2020) Intel Corporation,3
261,"source code (""Material"") are owned by Intel Corporation or its suppliers or",6
262,static const __attribute__ ((aligned(4))) att_table_field_t unpacked[] = {,38
263,sdm_return_t pa_attestation_table_set(void *att_table_loc),81
264,Copyright (2020) Intel Corporation,3
265,"source code (""Material"") are owned by Intel Corporation or its suppliers or",6
266,bool pa_bitstream_flag_use_aliasl1_get(void),26
267,void pa_bitstream_flag_use_aliasl1_set(bool use_aliasl1),31
268,Copyright (2020) Intel Corporation,3
269,"source code (""Material"") are owned by Intel Corporation or its suppliers or",6
270,sdm_return_t pa_bre_handoff_ram_init(),58
271,void pa_bre_handoff_flags_write_test_scenario(pa_test_scenario_t scenario),87
272,static inline pa_tlv_type_t pa_convert_certificate_request_to_tlv_type(pa_certificate_request_t certificate_request),112
273,"uint32_t pa_get_certificate_from_tlv(uint8_t *buf,",156
274,pre_handoff_data_t get_re_handoff_data(),244
275,uint32_t get_re_handoff_data_test_flags(),254
276,pa_return_t pa_write_re_handoff_flag_certificates(pa_certificate_request_t certificate_request),267
277,uint32_t pa_read_re_handoff_flags(),299
278,void pa_init_re_handoff_flags(),309
279,Copyright (2020) Intel Corporation,3
280,"source code (""Material"") are owned by Intel Corporation or its suppliers or",6
281,"static pa_return_t get_bre_cert(pa_certificate_request_t request,",30
282,"static pa_return_t get_cmf_cert(pa_certificate_request_t request,",48
283,"pa_return_t pa_certificate_get(pa_certificate_request_t request,",100
284,Copyright (2020) Intel Corporation,3
285,"source code (""Material"") are owned by Intel Corporation or its suppliers or",6
286,static sdm_return_t fill_uid(),44
287,static sdm_return_t fill_subject(pa_keypair_t* subject),73
288,static sdm_return_t fill_authority(pa_keypair_t* issuer),119
289,static sdm_return_t fill_general_parameters(),149
290,static sdm_return_t sign(pa_keypair_t* issuer),168
291,sdm_return_t fill_cert_constants_alias(),186
292,"sdm_return_t fill_cert_constants_common(pa_keypair_t* issuer,",209
293,"uint32_t pa_certificate_generate(pa_certype_t cert_type,",273
294,Copyright (2020) Intel Corporation,3
295,"source code (""Material"") are owned by Intel Corporation or its suppliers or",6
296,static bool is_section_valid(desc_type_t desc_type),54
297,"static bool is_cvp_phase_1(const main_descriptor_t* const p_main_descriptor,",79
298,void pa_design_hash_init(),88
299,"pa_return_t pa_design_hash_update(const main_descriptor_t* const p_main_descriptor,",116
300,"sdm_return_t pa_design_hash_get(const crypto_context_t * const crypto_ctx,",219
301,bool pa_design_hash_is_valid(),306
302,"bool pa_design_hash_get_section_hash(desc_type_t desc_type, uint32_t* ptr, uint32_t ptr_len)",322
303,Copyright (2020) Intel Corporation,3
304,"source code (""Material"") are owned by Intel Corporation or its suppliers or",6
305,"static sdm_return_t get_efuse(pa_efuse_t* efuse, uint8_t* buffer, uint32_t buffer_length)",33
306,"sdm_return_t pa_efuse_get_user_opaque_fuses(uint8_t* buffer, uint32_t buffer_length)",58
307,"sdm_return_t pa_efuse_get_uid(uint8_t* buffer, uint32_t buffer_length)",70
308,bool pa_efuse_disable_aliasl1_get(void),75
309,Copyright (2020) Intel Corporation,3
310,"source code (""Material"") are owned by Intel Corporation or its suppliers or",6
311,void pa_entry_event(),38
312,sdm_return_t pa_exit_event(bool* skip_cmf),58
313,void pa_wipe_event(),115
314,Copyright (2020) Intel Corporation,3
315,"source code (""Material"") are owned by Intel Corporation or its suppliers or",6
316,"pa_return_t pa_evidence_get(uint8_t* buffer,",39
317,Copyright (2020) Intel Corporation,3
318,"source code (""Material"") are owned by Intel Corporation or its suppliers or",6
319,bool pa_adi_is_present(),68
320,void pa_provide_re_handoff_flags(re_handoff_flags_t re_handoff_flags),80
321,void pa_provide_re_handoff_data(re_handoff_data_t* re_handoff_data),92
322,bool pa_is_device_owned(),102
323,Copyright (2020) Intel Corporation,3
324,"source code (""Material"") are owned by Intel Corporation or its suppliers or",6
325,"static sdm_return_t create_keypair(pa_keypair_t* keypair,",106
326,sdm_return_t pa_key_create_firmware_keypair(pa_keypair_t* firmware_keypair),151
327,sdm_return_t pa_key_create_bkp_keypair(pa_keypair_t* bkp_keypair),168
328,static bool fill_alias_context(const crypto_context_t * const crypto_ctx),184
329,sdm_return_t pa_key_create_alias_keypair(pa_keypair_t* alias_keypair),214
330,"sdm_return_t pa_key_sign(pa_keypair_t* issuer,",240
331,"sdm_return_t pa_key_get_public_xy(pa_keypair_t* keypair,",316
332,"sdm_return_t pa_key_create_alias_private_key(const crypto_context_t * const crypto_ctx,",352
333,Copyright (2020) Intel Corporation,3
334,"source code (""Material"") are owned by Intel Corporation or its suppliers or",6
335,"int generate_alias_cert(const cert_variables_t * cert_vars, uint8_t * buffer, int buffer_length) {",852
336,"int generate_bkp_cert(const cert_variables_t * cert_vars, uint8_t * buffer, int buffer_length) {",943
337,"int generate_cert_cert(const cert_variables_t * cert_vars, uint8_t * buffer, int buffer_length) {",1021
338,@return the length of the certificate (in bytes) or -1 if there is an error,1054
339,"static int fill_certificate(const cert_variables_t * cert_vars, uint8_t * const buffer, uint32_t buffer_size, const cert_format_t * format) {",1056
340,"static uint32_t varlen_sum(const cert_format_t * format, const uint32_t * const locals, uint32_t index) {",1154
341,"static void write_asn1_length(uint8_t * ptr, uint32_t len) {",1172
342,static uint32_t get_asn1_lenlen(uint32_t len) {,1192
343,Copyright (2020) Intel Corporation,3
344,"source code (""Material"") are owned by Intel Corporation or its suppliers or",6
345,Copyright (2020) Intel Corporation,3
346,"source code (""Material"") are owned by Intel Corporation or its suppliers or",6
347,"int generate_alias_cert(const cert_variables_t * cert_vars, uint8_t * buffer, int buffer_length) {",855
348,"int generate_bkp_cert(const cert_variables_t * cert_vars, uint8_t * buffer, int buffer_length) {",947
349,"int generate_cert_cert(const cert_variables_t * cert_vars, uint8_t * buffer, int buffer_length) {",1025
350,@return the length of the certificate (in bytes) or -1 if there is an error,1058
351,"static int fill_certificate(const cert_variables_t * cert_vars, uint8_t * const buffer, uint32_t buffer_size, const cert_format_t * format) {",1060
352,"static uint32_t varlen_sum(const cert_format_t * format, const uint32_t * const locals, uint32_t index) {",1158
353,"static void write_asn1_length(uint8_t * ptr, uint32_t len) {",1176
354,static uint32_t get_asn1_lenlen(uint32_t len) {,1196
355,Copyright (2020) Intel Corporation,3
356,"source code (""Material"") are owned by Intel Corporation or its suppliers or",6
357,Copyright (2021) Intel Corporation,3
358,"source code (""Material"") are owned by Intel Corporation or its suppliers or",6
359,void anti_tamper_enable_status_set(uint32_t mask),106
360,uint32_t anti_tamper_enable_status_get(void),111
361,void anti_tamper_enable_status_clr(uint32_t mask),116
362,void anti_tamper_init_status_set(uint32_t mask),121
363,uint32_t anti_tamper_init_status_get(void),126
364,void update_anti_tamper_zerorization_mask(uint32_t mask),131
365,void anti_tamper_zerorization_status_set(uint32_t mask),136
366,void anti_tamper_set_vadc_ch_mask(uint32_t mask),142
367,uint32_t anti_tamper_get_vadc_ch_mask(void),147
368,uint32_t anti_tamper_get_num_vadc_ch(),152
369,static void anti_tamper_update_vadc_ch_mask(void),157
370,uint32_t anti_tamper_get_voltage_range(void),178
371,(the value has not being initialized) ATPR_TYPE_INVALID will be,186
372,atpr_response_type_t anti_tamper_get_global_enable(void),191
373,atpr_enable_t anti_tamper_get_fpga_enable(void),208
374,static bool is_atpr_voltage_valid(void),229
375,static bool is_atpr_temperature_valid(void),251
376,void validate_anti_tamper_table(void),270
377,STATIC bool is_valid_global_atpr_enable(void),291
378,sdm_return_t anti_tamper_table_init(const main_descriptor_t *main_descriptor),316
379,bool set_anti_tamper_table(,377
380,STATIC bool is_atpr_frequency_valid(void),469
381,bool anti_tamper_table_valid(void),494
382,void invalidate_anti_tamper_table(void),502
383,sdm_return_t anti_tamper_detection_init(void),512
384,uint32_t anti_tamper_reason_get(void),582
385,void anti_tamper_reason_set(uint32_t bit_position),592
386,void anti_tamper_reason_clr(uint32_t bit_position),604
387,STATIC void clear_anti_tamper_table(void),610
388,If s_anti_tamper_ctx is not valid (the value has not being initialized),639
389,atpr_enable_t anti_tamper_get_freq_det_enable(void),644
390,atpr_freq_t anti_tamper_get_frequency_range(void),662
391,If s_anti_tamper_ctx is not valid (the value has not being initialized),669
392,atpr_enable_t anti_tamper_get_temp_enable(void),674
393,(the value has not being initialized) ATPR_DISABLE will be returned,689
394,atpr_enable_t anti_tamper_get_voltage_enable(void),693
395,atpr_enable_t get_atpr_vccl_sdm_enable(void),709
396,STATIC atpr_enable_t get_atpr_vccl_enable(void),729
397,STATIC int32_t get_temp_sign_extension(uint32_t temp),748
398,int32_t anti_tamper_get_temp_upr_thold(void),771
399,int32_t anti_tamper_get_temp_lwr_thold(void),782
400,void anti_tamper_freq_det_handler(void),798
401,bool fpga_anti_tamper_detect_enabled(void),809
402,STATIC void anti_tamper_fpga_event_isr(void* context),825
403,STATIC sdm_return_t anti_tamper_fpga_detect_init(void),841
404,STATIC sdm_return_t anti_tamper_fpga_detect_enable(void),879
405,STATIC void anti_tamper_timer_isr(void* context),898
406,STATIC void anti_tamper_fpga_resp_done_isr(void* context),915
407,void anti_tamper_determine_response_result_pin_status(void),940
408,void anti_tamper_fpga_zerorize_request(void),956
409,void anti_tamper_update_boot_status(void),973
410,static bool is_anti_tamper_kill_reason_set(void),1009
411,void anti_tamper_disable_device(),1023
412,static void bbram_key_cleaning(void),1060
413,static void bbram_key_zeroization_check(crypto_context_t* crypto_ctx),1077
414,static void ukv_key_reg_cleaning(void),1089
415,static void ukv_key_cleaning(void),1102
416,static void ukv_key_zeroization_check(crypto_context_t* crypto_ctx),1120
417,static void efuse_key_reg_cleaning(void),1139
418,static sdm_return_t crypto_setup_for_key_zeroization(crypto_context_t* crypto_ctx),1153
419,void anti_tamper_key_cleaning(void),1220
420,void anti_tamper_key_zeroization(void),1260
421,Copyright (2019) Intel Corporation,3
422,"source code (""Material"") are owned by Intel Corporation or its suppliers or",6
423,void set_comb_feature_enable(uint32_t feature_enable),62
424,void clear_comb_feature_enable(void),71
425,"bool check_comb_feature_enable(uint32_t feature_enable, uint32_t bitmask)",76
426,"sdm_return_t config_get_main_sig_descs(comp_config_handle_t config_handle,",93
427,"sdm_return_t config_resume_bitstream(comp_config_handle_t config_handle,",363
428,Copyright (2020) Intel Corporation,3
429,"source code (""Material"") are owned by Intel Corporation or its suppliers or",6
430,"sdm_return_t bitstream_mod_prevention_check(crypto_context_t * crypto_ctx, const main_descriptor_t * main_descriptor)",46
431,Copyright (2019) Intel Corporation,3
432,"source code (""Material"") are owned by Intel Corporation or its suppliers or",6
433,static bool create_19x_handoff_data(void),121
434,"STATIC void config_drv_handles_for_authentication(comp_config_handle_t comp_config_handle,",153
